Fall Term,10.0 or more courses,5.0 - 9.9 courses,Less than 5.0 courses/unknown
2023,48.0,38.0,13.0
2022,48.0,40.0,13.0
2021,52.0,36.0,12.0
2020,46.0,43.0,11.0
2019,48.0,40.0,12.0
2018,45.0,43.0,13.0
2017,38.0,47.0,15.0
2016,38.0,45.0,17.0
2015,40.0,42.0,18.0
2014,36.0,46.0,18.0
2013,35.0,48.0,17.0
2012,32.0,50.0,18.0
2011,28.0,56.0,16.0
2010,27.0,63.0,11.0
2009,27.0,61.0,12.0
2008,25.0,62.0,13.0
2007,25.0,62.0,13.0
2006,23.0,62.0,15.0
2005,24.0,62.0,15.0
2004,24.0,61.0,15.0
2003,22.0,63.0,15.0
